hospCode,hebName,engName
0,שיבא,Shiba
1,רמבם,Rambam
2,אסף הרופא,Asaf Harofe
3,וולפסון,Wolfson
4,זיו,Ziv
5,הלל יפה,Hilel Yafe
6,נהריה,Nahariya
7,ברזילי,Barzilay
8,פוריה,Poriya
9,איכילוב,Ichilov
10,בני ציון,Bney Zion
11,בלינסון,Belinson
12,סורוקה,Soroka
13,מאיר,Meir
14,קפלן,Kaplan
15,העמק,Haemek
16,הכרמל,Carmel
17,השרון,Hasharon
18,יוספטל,Yoseftal
19,הדסה עין כרם,Hadasa Ein Carem
20,הדסה הר הצופים,Hadasa Har Hazofim
21,הסקוטי,Scotish
22,המשפחה הקדושה,Holy Family
23,שערי צדק,Shaarey Zedek
24,לניאדו,Laniado
25,אוגוסטה ויקטוריה,Augosta Victoria
26,מעייני הישועה,Mayney Hayeshua
27,הצרפתי בנצרת,The French Hospital
28,שיינדר,Shnider
29,אסותא אשדוד,Asuta Ashdod
